document_id,target_token,candidate_token,candidate_role,evidence_pack,evidence_cap,evidence_action,score
memo_cap_missing,그것,배터리팩,equipment,0.9,0.1,0.0,0.2
memo_cap_missing,그것,분리,prior_action,0.8,0.2,0.4,0.7
memo_cap_missing,그것,절연캡,missing_object,0.1,0.95,0.2,2.4
memo_cap_missing,그것,씌우지,missing_action,0.0,0.7,0.9,1.7
memo_cap_missing,그것,그것,current_token,0.3,0.3,0.3,0.8
memo_cap_missing,그것,위험,risk_question,0.2,0.6,0.7,1.3
memo_cap_missing,씌우지,배터리팩,equipment,0.9,0.1,0.0,0.4
memo_cap_missing,씌우지,분리,prior_action,0.8,0.2,0.4,1.7
memo_cap_missing,씌우지,절연캡,missing_object,0.1,0.95,0.2,2.1
memo_cap_missing,씌우지,씌우지,current_action,0.0,0.7,0.9,1.4
memo_cap_missing,씌우지,그것,other_reference,0.3,0.3,0.3,0.2
memo_cap_missing,씌우지,위험,risk_question,0.2,0.6,0.7,0.6
memo_pressure_hold,그것,펌프,pump_equipment,0.7,0.0,0.2,0.3
memo_pressure_hold,그것,정지,prior_action,0.6,0.1,0.5,0.8
memo_pressure_hold,그것,압력,pressure_signal,0.2,0.1,0.8,2.5
memo_pressure_hold,그것,불안정,risk_state,0.1,0.2,0.9,2.2
memo_pressure_hold,그것,그것,current_token,0.3,0.3,0.3,0.7
memo_pressure_hold,그것,재기동,restart_decision,0.5,0.1,0.6,1.5
memo_pressure_hold,재기동,펌프,pump_equipment,0.7,0.0,0.2,0.5
memo_pressure_hold,재기동,정지,prior_action,0.6,0.1,0.5,1.0
memo_pressure_hold,재기동,압력,pressure_signal,0.2,0.1,0.8,2.1
memo_pressure_hold,재기동,불안정,risk_state,0.1,0.2,0.9,2.0
memo_pressure_hold,재기동,그것,other_reference,0.3,0.3,0.3,0.2
memo_pressure_hold,재기동,재기동,current_decision,0.5,0.1,0.6,2.4
memo_flow_alarm,그것,냉각수,coolant_system,0.3,0.9,0.2,2.2
memo_flow_alarm,그것,유량,flow_signal,0.2,0.95,0.4,2.5
memo_flow_alarm,그것,경보,alarm_state,0.1,0.6,0.8,1.8
memo_flow_alarm,그것,해제,requested_action,0.4,0.2,0.7,0.7
memo_flow_alarm,그것,그것,current_token,0.3,0.3,0.3,0.8
memo_flow_alarm,그것,부족,risk_state,0.1,0.7,0.9,1.9
memo_flow_alarm,해제,냉각수,coolant_system,0.3,0.9,0.2,1.5
memo_flow_alarm,해제,유량,flow_signal,0.2,0.95,0.4,2.0
memo_flow_alarm,해제,경보,alarm_state,0.1,0.6,0.8,2.2
memo_flow_alarm,해제,해제,current_action,0.4,0.2,0.7,1.6
memo_flow_alarm,해제,그것,other_reference,0.3,0.3,0.3,0.2
memo_flow_alarm,해제,부족,risk_state,0.1,0.7,0.9,2.3
